Peak_25860 ENSG00000237330.2	1074307	6625
Peak_68978 ENSG00000237330.2	1074307	6625
Peak_19319 ENSG00000237330.2	1074307	5791
Peak_24518 ENSG00000237330.2	1074307	5791
Peak_24039 ENSG00000237330.2	1074307	5186
Peak_25265 ENSG00000237330.2	1074307	5186
Peak_38063 ENSG00000237330.2	1074307	5186
Peak_32494 ENSG00000131591.17	1116361	8436
Peak_106662 ENSG00000131591.17	1116361	8736
Peak_127062 ENSG00000131591.17	1116361	8736
Peak_35758 ENSG00000131591.17	1116361	16171
Peak_17127 ENSG00000131591.17	1116361	17056
Peak_13453 ENSG00000131591.17	1116361	20045
Peak_18461 ENSG00000131591.17	1116361	27735
Peak_239339 ENSG00000131591.17	1116361	27735
Peak_41520 ENSG00000131591.17	1116361	27735
Peak_73391 ENSG00000131591.17	1116361	27735
Peak_78446 ENSG00000131591.17	1116361	27735
Peak_22657 ENSG00000162571.13	1173883	23940
Peak_294460 ENSG00000162571.13	1173883	23940
Peak_13897 ENSG00000162571.13	1173883	15999
Peak_45609 ENSG00000162571.13	1173883	15999
Peak_143416 ENSG00000179403.11	1434860	1653
Peak_20312 ENSG00000179403.11	1434860	1653
Peak_241915 ENSG00000205090.8	1540453	433
Peak_17262 ENSG00000008130.15	1780457	2054
Peak_18368 ENSG00000008130.15	1780457	2546
Peak_63191 ENSG00000078369.17	1891117	507
Peak_56936 ENSG00000169885.9	1914826	6496
Peak_7031 ENSG00000169885.9	1914826	6496
Peak_87870 ENSG00000116151.13	2391707	80304
Peak_10350 ENSG00000157873.17	2555638	9686
Peak_15640 ENSG00000157873.17	2555638	9013
Peak_299841 ENSG00000157873.17	2555638	9013
Peak_55715 ENSG00000157873.17	2555638	7508
Peak_29004 ENSG00000157873.17	2555638	6923
Peak_11644 ENSG00000157870.14	2586490	10804
Peak_18559 ENSG00000157870.14	2586490	9757
Peak_19533 ENSG00000157870.14	2586490	8270
Peak_42821 ENSG00000142611.16	3069167	2894
Peak_148245 ENSG00000130762.14	3454425	27897
Peak_24338 ENSG00000130762.14	3454425	27897
Peak_16182 ENSG00000162592.8	3752397	5578
Peak_62963 ENSG00000162592.8	3752397	5578
Peak_84832 ENSG00000162592.8	3752397	5578
Peak_3068 ENSG00000198912.10	3900293	924
Peak_274207 ENSG00000007923.15	6701924	41319
Peak_35692 ENSG00000007923.15	6701924	41319
Peak_89180 ENSG00000007923.15	6701924	41319
Peak_27439 ENSG00000116285.12	8026308	32177
Peak_17068 ENSG00000116285.12	8026308	34953
Peak_47051 ENSG00000116285.12	8026308	44031
Peak_94913 ENSG00000116285.12	8026308	44031
Peak_13439 ENSG00000116285.12	8026308	50769
Peak_72259 ENSG00000116285.12	8026308	51985
Peak_37657 ENSG00000116285.12	8026308	57427
Peak_60194 ENSG00000116285.12	8026308	57427
Peak_53522 ENSG00000116285.12	8026308	64197
Peak_62131 ENSG00000116285.12	8026308	68219
Peak_29728 ENSG00000116285.12	8026308	71214
Peak_16667 ENSG00000116285.12	8026308	94699
Peak_38624 ENSG00000116285.12	8026308	94699
Peak_48303 ENSG00000116285.12	8026308	140954
Peak_66949 ENSG00000162426.14	8317825	143487
Peak_44001 ENSG00000162426.14	8317825	143007
Peak_15104 ENSG00000162426.14	8317825	115695
Peak_53554 ENSG00000162426.14	8317825	115213
Peak_142520 ENSG00000162426.14	8317825	100646
Peak_72909 ENSG00000162426.14	8317825	100646
Peak_22855 ENSG00000162426.14	8317825	58857
Peak_33108 ENSG00000162426.14	8317825	58857
Peak_47507 ENSG00000162426.14	8317825	58857
Peak_58250 ENSG00000162426.14	8317825	5515
Peak_5762 ENSG00000074800.13	8879249	30443
Peak_27103 ENSG00000074800.13	8879249	21134
Peak_20720 ENSG00000180758.11	9129170	33687
Peak_25030 ENSG00000180758.11	9129170	34513
Peak_32614 ENSG00000180758.11	9129170	34513
Peak_106534 ENSG00000180758.11	9129170	52197
Peak_94802 ENSG00000180758.11	9129170	52197
Peak_109450 ENSG00000049239.12	9234774	52663
Peak_88632 ENSG00000049239.12	9234774	52663
Peak_33238 ENSG00000049239.12	9234774	1506
Peak_108011 ENSG00000171621.13	9292879	2777
Peak_234043 ENSG00000171621.13	9292879	2777
Peak_47556 ENSG00000171621.13	9292879	78612
Peak_36304 ENSG00000171621.13	9292879	83935
Peak_66862 ENSG00000171621.13	9292879	108979
Peak_14615 ENSG00000171621.13	9292879	120135
Peak_39742 ENSG00000171621.13	9292879	120135
Peak_143575 ENSG00000171603.16	9824526	913
Peak_30798 ENSG00000171603.16	9824526	913
Peak_122543 ENSG00000280113.1	9828258	14408
Peak_66630 ENSG00000280113.1	9828258	14408
Peak_67830 ENSG00000280113.1	9828258	15261
Peak_66746 ENSG00000142657.20	10398591	10946
Peak_18721 ENSG00000130940.14	10796650	160658
Peak_22117 ENSG00000130940.14	10796650	18404
Peak_27572 ENSG00000130940.14	10796650	18404
Peak_43861 ENSG00000130940.14	10796650	18404
Peak_47851 ENSG00000028137.16	12167002	18597
Peak_74553 ENSG00000028137.16	12167002	5294
Peak_8880 ENSG00000028137.16	12167002	5294
Peak_144629 ENSG00000162496.8	12617731	90191
Peak_23894 ENSG00000162496.8	12617731	90191
Peak_28980 ENSG00000162496.8	12617731	89394
Peak_207234 ENSG00000162496.8	12617731	77774
Peak_53259 ENSG00000162496.8	12617731	77774
Peak_66219 ENSG00000162496.8	12617731	77774
Peak_107784 ENSG00000162496.8	12617731	68083
Peak_89207 ENSG00000162496.8	12617731	68083
Peak_42519 ENSG00000162496.8	12617731	1239
Peak_28718 ENSG00000162496.8	12617731	2160
Peak_23069 ENSG00000162493.16	13583464	36421
Peak_18390 ENSG00000171729.13	15152531	12781
Peak_63736 ENSG00000171729.13	15152531	10668
Peak_13776 ENSG00000197312.11	15617499	14379
Peak_28500 ENSG00000197312.11	15617499	14379
Peak_7833 ENSG00000162461.7	15736404	615
Peak_30029 ENSG00000233954.6	15809348	10289
Peak_49180 ENSG00000233954.6	15809348	9873
Peak_18524 ENSG00000233954.6	15809348	9440
Peak_15907 ENSG00000186510.11	16018874	6156
Peak_23962 ENSG00000186510.11	16018874	6156
Peak_16132 ENSG00000142627.12	16156087	17093
Peak_59711 ENSG00000142627.12	16156087	17093
Peak_25983 ENSG00000142627.12	16156087	19866
Peak_195482 ENSG00000142627.12	16156087	25528
Peak_9244 ENSG00000142627.12	16156087	25528
Peak_18942 ENSG00000142632.16	16212609	3625
Peak_1039 ENSG00000142632.16	16212609	4313
Peak_36650 ENSG00000142632.16	16212609	4313
Peak_41893 ENSG00000219481.10	16613562	9930
Peak_1325 ENSG00000219481.10	16613562	10368
Peak_10991 ENSG00000237847.2	16673002	28698
Peak_144890 ENSG00000237847.2	16673002	28698
Peak_73696 ENSG00000237847.2	16673002	28698
Peak_27424 ENSG00000074964.16	17539834	22914
Peak_92783 ENSG00000074964.16	17539834	8069
Peak_15555 ENSG00000179023.8	18480981	16768
Peak_8135 ENSG00000179023.8	18480981	16768
Peak_118039 ENSG00000169991.10	18956686	53707
Peak_236805 ENSG00000169991.10	18956686	53707
